book_num,sentence,rob_sentiment,rob_score,rob_all_scores
0,uncle vernon go pale whisper something sound like mimblewimble hagrid stare wildly harry,neutral,0.87799174,"{'neutral': 0.87799174, 'negative': 0.06226597, 'positive': 0.05974222}"
0,she grab harry wand tap lock whisper alohomora,neutral,0.8935042,"{'neutral': 0.8935042, 'positive': 0.08240734, 'negative': 0.024088508}"
0,wingardium leviosa shout wave long arm like windmill,neutral,0.7237462,"{'neutral': 0.7237462, 'positive': 0.24543244, 'negative': 0.030821431}"
0,it winggardium leviosa make gar nice long,neutral,0.550518,"{'neutral': 0.550518, 'positive': 0.41176078, 'negative': 0.03772121}"
0,hermione roll sleeve gown flick wand say wingardium leviosa,neutral,0.8536455,"{'neutral': 0.8536455, 'positive': 0.11574829, 'negative': 0.030606145}"
0,hermione sunk floor fright ron pull wand know go hear cry first spell come head wingardium leviosa,neutral,0.8138795,"{'neutral': 0.8138795, 'negative': 0.12056292, 'positive': 0.0655576}"
0,now forget locomotor mortis hermione mutter ron slip wand sleeve,neutral,0.8118827,"{'neutral': 0.8118827, 'negative': 0.114630796, 'positive': 0.073486485}"
0,petrificus totalus cry point neville,neutral,0.6703277,"{'neutral': 0.6703277, 'negative': 0.23586147, 'positive': 0.09381077}"
0,they tug heave door budge even hermione try alohomora charm,neutral,0.84393173,"{'neutral': 0.84393173, 'positive': 0.097213894, 'negative': 0.058854356}"
1,he roll sleeve brandish wand bellow peskipiksi pesternomi,neutral,0.84280115,"{'neutral': 0.84280115, 'positive': 0.11592198, 'negative': 0.041276842}"
1,both swung wands head point opponent snape cry expelliarmus there dazzle flash scarlet light lockhart blast foot he fly backward stage smash wall slide sprawl floor,neutral,0.8418423,"{'neutral': 0.8418423, 'positive': 0.116479225, 'negative': 0.041678496}"
1,he stumble everything still seem work waste time harry pointed wand straight malfoy shout rictusempra,negative,0.5563957,"{'negative': 0.5563957, 'neutral': 0.41116956, 'positive': 0.032434776}"
1,harry hang back vague feeling would unsporte bewitch malfoy floor mistake gasp breath malfoy point wand harry knee choke tarantallegra next second harry leg begin jerk around control kind quickstep,neutral,0.85818636,"{'neutral': 0.85818636, 'negative': 0.10702453, 'positive': 0.03478909}"
1,finite incantatem shout harry foot stop dance malfoy stop laugh able look,neutral,0.5833453,"{'neutral': 0.5833453, 'negative': 0.22842175, 'positive': 0.18823291}"
1,malfoy raise wand quickly bellow serpensortia,neutral,0.82843596,"{'neutral': 0.82843596, 'positive': 0.1001474, 'negative': 0.07141665}"
1,she tap diary three time say aparecium,neutral,0.7471087,"{'neutral': 0.7471087, 'negative': 0.18980613, 'positive': 0.06308511}"
1,he pull wand shout expelliarmus snape disarm lockhart malfoy find diary shoot hand air,neutral,0.85931104,"{'neutral': 0.85931104, 'positive': 0.10134807, 'negative': 0.03934083}"
1,harry take wand murmur lumos tiny light appear end enough let watch path sign spider,neutral,0.8702575,"{'neutral': 0.8702575, 'positive': 0.114894055, 'negative': 0.014848427}"
1,lockhart barely raise harry bellow expelliarmus,neutral,0.7054471,"{'neutral': 0.7054471, 'negative': 0.23965684, 'positive': 0.05489604}"
1,lumos harry muttered wand light,neutral,0.8429263,"{'neutral': 0.8429263, 'positive': 0.11320502, 'negative': 0.04386872}"
1,he raise ron spellotape wand high head yelled obliviate,neutral,0.7749938,"{'neutral': 0.7749938, 'positive': 0.20003434, 'negative': 0.024971887}"
2,lumos harry muttered light appear end wand almost dazzle,neutral,0.626463,"{'neutral': 0.626463, 'positive': 0.36286828, 'negative': 0.010668687}"
2,I eard think e secondincommand youknow oo ad take,neutral,0.7543471,"{'neutral': 0.7543471, 'negative': 0.13186397, 'positive': 0.11378896}"
2,they ad job coverin din ern stan say,neutral,0.8776004,"{'neutral': 0.8776004, 'negative': 0.06580518, 'positive': 0.056594446}"
2,what say ad appene ern,neutral,0.83670944,"{'neutral': 0.83670944, 'negative': 0.122952275, 'positive': 0.040338323}"
2,we ad I m ere knight bus di n ern,neutral,0.88310647,"{'neutral': 0.88310647, 'positive': 0.093028754, 'negative': 0.02386478}"
2,he raise wand shoulder height say waddiwasi point peeve,neutral,0.5354044,"{'neutral': 0.5354044, 'negative': 0.43466786, 'positive': 0.029927725}"
2,after please riddikulus,neutral,0.7691115,"{'neutral': 0.7691115, 'positive': 0.19995524, 'negative': 0.030933263}"
2,riddikulus say class together,neutral,0.8843137,"{'neutral': 0.8843137, 'negative': 0.063514546, 'positive': 0.05217165}"
2,and raise wand thus cry riddikulus concentrate hard grandmother clothe,neutral,0.7111434,"{'neutral': 0.7111434, 'negative': 0.2163761, 'positive': 0.072480604}"
2,riddikulus cry parvati,neutral,0.7139845,"{'neutral': 0.7139845, 'negative': 0.23057131, 'positive': 0.055444192}"
2,riddikulus shout seamus,neutral,0.8647513,"{'neutral': 0.8647513, 'positive': 0.081112444, 'negative': 0.05413622}"
2,riddikulus yelled dean,neutral,0.7494387,"{'neutral': 0.7494387, 'negative': 0.19738686, 'positive': 0.053174462}"
2,riddikulus bellow ron spider leg vanish,neutral,0.86503637,"{'neutral': 0.86503637, 'negative': 0.08147472, 'positive': 0.05348897}"
2,then see silverywhite orb hang air front lupin say riddikulus almost lazily,neutral,0.8365346,"{'neutral': 0.8365346, 'positive': 0.093288764, 'negative': 0.07017656}"
2,riddikulus shout split second view snape lacy dress neville let great ha laughter boggart explode burst thousand tiny wisp smoke go,neutral,0.65570754,"{'neutral': 0.65570754, 'positive': 0.29846594, 'negative': 0.04582652}"
2,he hand team watch amazement hermione tap wand say impervius,neutral,0.49317363,"{'neutral': 0.49317363, 'positive': 0.49013045, 'negative': 0.016695954}"
2,the word inside say dissendium,neutral,0.51067954,"{'neutral': 0.51067954, 'negative': 0.45555297, 'positive': 0.033767506}"
2,dissendium harry whisper tap stone witch,neutral,0.8073219,"{'neutral': 0.8073219, 'negative': 0.09814313, 'positive': 0.09453503}"
2,he hold wand mutter lumos see narrow low earthy passageway,neutral,0.8717007,"{'neutral': 0.8717007, 'positive': 0.08726918, 'negative': 0.041030034}"
2,somewhere hermione whisper mobiliarbus,neutral,0.82002413,"{'neutral': 0.82002413, 'positive': 0.0939405, 'negative': 0.086035416}"
2,the incantation lupin clear throat expecto patronum,neutral,0.86339414,"{'neutral': 0.86339414, 'positive': 0.071636856, 'negative': 0.06496896}"
2,expecto patronum harry repeat breath expecto patronum,neutral,0.70920795,"{'neutral': 0.70920795, 'positive': 0.2734749, 'negative': 0.017317073}"
2,expecto patrono patronum sorry expecto patronum expecto patronum,negative,0.49967846,"{'negative': 0.49967846, 'neutral': 0.45436922, 'positive': 0.045952264}"
2,expecto patronum harry yell,neutral,0.6999472,"{'neutral': 0.6999472, 'positive': 0.2589646, 'negative': 0.041088186}"
2,expecto patronum,neutral,0.7262132,"{'neutral': 0.7262132, 'positive': 0.1788494, 'negative': 0.09493735}"
2,expecto,neutral,0.7231783,"{'neutral': 0.7231783, 'positive': 0.2070983, 'negative': 0.06972333}"
2,expecto patronum harry yell,neutral,0.6999472,"{'neutral': 0.6999472, 'positive': 0.2589646, 'negative': 0.041088186}"
2,expecto patronum,neutral,0.7262132,"{'neutral': 0.7262132, 'positive': 0.1788494, 'negative': 0.09493735}"
2,expecto pat,neutral,0.72965586,"{'neutral': 0.72965586, 'positive': 0.21099682, 'negative': 0.059347335}"
2,expecto patronum harry bellow,neutral,0.732527,"{'neutral': 0.732527, 'positive': 0.24457815, 'negative': 0.022894766}"
2,expecto patronum,neutral,0.7262132,"{'neutral': 0.7262132, 'positive': 0.1788494, 'negative': 0.09493735}"
2,expecto patronum,neutral,0.7262132,"{'neutral': 0.7262132, 'positive': 0.1788494, 'negative': 0.09493735}"
2,riddikulus roar lupin spring forwards,neutral,0.86450887,"{'neutral': 0.86450887, 'positive': 0.10729825, 'negative': 0.0281929}"
2,ron pull wand mutter lumo,neutral,0.8817099,"{'neutral': 0.8817099, 'positive': 0.060352046, 'negative': 0.057938095}"
2,plunge hand neck robe whip wand roar expecto patronum,neutral,0.8157974,"{'neutral': 0.8157974, 'positive': 0.14133263, 'negative': 0.042869993}"
2,harry quickly pull wand mutter dissendium shove bag statue could climb neville come around corner,neutral,0.88287985,"{'neutral': 0.88287985, 'positive': 0.098760456, 'negative': 0.018359683}"
2,you tap say dissendium say harry,neutral,0.8581611,"{'neutral': 0.8581611, 'positive': 0.082809485, 'negative': 0.059029374}"
2,lumos whisper,neutral,0.80483836,"{'neutral': 0.80483836, 'positive': 0.12956788, 'negative': 0.06559377}"
2,nox whisper together light end wand go,neutral,0.86200124,"{'neutral': 0.86200124, 'positive': 0.0928355, 'negative': 0.045163263}"
2,he dog animagus,neutral,0.7791529,"{'neutral': 0.7791529, 'positive': 0.11821437, 'negative': 0.10263277}"
2,expelliarmus croak point ron wand,neutral,0.8285631,"{'neutral': 0.8285631, 'positive': 0.111401394, 'negative': 0.060035534}"
2,expelliarmus lupin shout,neutral,0.791772,"{'neutral': 0.791772, 'positive': 0.17370133, 'negative': 0.03452671}"
2,an animagus say black name peter pettigrew,neutral,0.87761843,"{'neutral': 0.87761843, 'negative': 0.07811761, 'positive': 0.0442639}"
2,because people would know peter pettigrew animagus,neutral,0.85545987,"{'neutral': 0.85545987, 'positive': 0.1015048, 'negative': 0.043035325}"
2,your father sirius clever student school lucky animagus transformation go horribly wrong one reason ministry keep close watch attempt,negative,0.78748435,"{'negative': 0.78748435, 'neutral': 0.18774393, 'positive': 0.024771675}"
2,all year I battle wonder whether I tell dumbledore sirius animagus,neutral,0.8293356,"{'neutral': 0.8293356, 'negative': 0.094580255, 'positive': 0.07608422}"
2,and I convince sirius get school use dark art learn voldemort animagus nothing way snape right along,neutral,0.74157363,"{'neutral': 0.74157363, 'negative': 0.15484782, 'positive': 0.103578635}"
2,expelliarmus yell except voice shout,neutral,0.7551003,"{'neutral': 0.7551003, 'positive': 0.15697949, 'negative': 0.087920256}"
2,he hurry ron bent tap ron leg wand mutter ferula bandage spin ron leg strap tightly splint,neutral,0.90104216,"{'neutral': 0.90104216, 'positive': 0.06449137, 'negative': 0.034466453}"
2,he mutter mobilicorpus as though invisible string tie snape wrist neck knee pull standing position head still loll unpleasantly like grotesque puppet,negative,0.60380054,"{'negative': 0.60380054, 'neutral': 0.365905, 'positive': 0.030294495}"
2,expelliarmus harry yelled point wand pettigrew lupin wand fly high air sight,neutral,0.77389663,"{'neutral': 0.77389663, 'positive': 0.2026666, 'negative': 0.023436734}"
2,he force think sirius sirius begin chant expecto patronum,neutral,0.8862194,"{'neutral': 0.8862194, 'positive': 0.07569045, 'negative': 0.038090236}"
2,expecto patronum,neutral,0.7262132,"{'neutral': 0.7262132, 'positive': 0.1788494, 'negative': 0.09493735}"
2,expecto patronum,neutral,0.7262132,"{'neutral': 0.7262132, 'positive': 0.1788494, 'negative': 0.09493735}"
2,expecto patronum,neutral,0.7262132,"{'neutral': 0.7262132, 'positive': 0.1788494, 'negative': 0.09493735}"
2,expecto hermione whisper expecto expecto,neutral,0.68898517,"{'neutral': 0.68898517, 'positive': 0.26572928, 'negative': 0.045285586}"
2,expecto patronum harry yelled try blot scream ear,neutral,0.725717,"{'neutral': 0.725717, 'positive': 0.13922404, 'negative': 0.13505897}"
2,expecto patronum,neutral,0.7262132,"{'neutral': 0.7262132, 'positive': 0.1788494, 'negative': 0.09493735}"
2,expecto expecto patronum,neutral,0.731885,"{'neutral': 0.731885, 'positive': 0.15346923, 'negative': 0.11464577}"
2,expecto patronum gasp,neutral,0.7528915,"{'neutral': 0.7528915, 'positive': 0.15810575, 'negative': 0.089002766}"
2,he innocent expecto expecto patronum,positive,0.5665538,"{'positive': 0.5665538, 'neutral': 0.39623916, 'negative': 0.037207045}"
2,he fight expecto patronum see distance hear familiar scream expecto patronum grope mist sirius find arm go take,neutral,0.87771696,"{'neutral': 0.87771696, 'positive': 0.09031431, 'negative': 0.031968784}"
2,it ron rat animagus pettigrew I mean,neutral,0.92117155,"{'neutral': 0.92117155, 'positive': 0.04359413, 'negative': 0.03523434}"
2,expecto patronum yell,neutral,0.73060644,"{'neutral': 0.73060644, 'positive': 0.18536444, 'negative': 0.08402918}"
2,alohomora,neutral,0.7425816,"{'neutral': 0.7425816, 'negative': 0.13014765, 'positive': 0.12727077}"
3,the dursley never allow general wish keep harry miserable possible coupled fear power lead lock school trunk cupboard stair every summer prior,negative,0.8835515,"{'negative': 0.8835515, 'neutral': 0.110323295, 'positive': 0.0061251856}"
3,incendio say mr weasley point wand hole wall behind,neutral,0.917138,"{'neutral': 0.917138, 'positive': 0.049092352, 'negative': 0.03376968}"
3,mrs weasley point wand george pocket say accio,neutral,0.8927685,"{'neutral': 0.8927685, 'positive': 0.07519911, 'negative': 0.032032397}"
3,accio,neutral,0.646958,"{'neutral': 0.646958, 'positive': 0.23394613, 'negative': 0.11909587}"
3,accio,neutral,0.646958,"{'neutral': 0.646958, 'positive': 0.23394613, 'negative': 0.11909587}"
3,accio shout toffee zoom sort unlikely place include line george jacket turnup fre jean,neutral,0.93208456,"{'neutral': 0.93208456, 'positive': 0.048965167, 'negative': 0.018950365}"
3,obliviate say sharply point wand mr roberts,neutral,0.7903468,"{'neutral': 0.7903468, 'positive': 0.10576227, 'negative': 0.10389098}"
3,ludo whip wand direct throat say sonorus speak roar sound fill pack stadium voice echo boom every corner stand,neutral,0.77531534,"{'neutral': 0.77531534, 'positive': 0.19663852, 'negative': 0.028046139}"
3,at last irish team leave box perform another lap honor broom aidan lynch back connolly clutch hard around waist still grin bemused sort way bagman point wand throat mutter quietus,neutral,0.8024739,"{'neutral': 0.8024739, 'positive': 0.17046079, 'negative': 0.027065251}"
3,oh stupid lumo,negative,0.8697174,"{'negative': 0.8697174, 'neutral': 0.11507605, 'positive': 0.015206559}"
3,morsmordre,neutral,0.7417862,"{'neutral': 0.7417862, 'negative': 0.12954268, 'positive': 0.1286711}"
3,stupefy roar twenty voice blind series flash harry feel hair head ripple though powerful wind sweep clearing,neutral,0.87098753,"{'neutral': 0.87098753, 'negative': 0.06513222, 'positive': 0.06388021}"
3,he raise wand point winky say rennervate,neutral,0.8578257,"{'neutral': 0.8578257, 'positive': 0.0735302, 'negative': 0.06864407}"
3,prior incantato roar mr diggory,neutral,0.70171213,"{'neutral': 0.70171213, 'positive': 0.22608161, 'negative': 0.07220617}"
3,deletrius mr diggory shout smoky skull vanish wisp smoke,neutral,0.8080627,"{'neutral': 0.8080627, 'negative': 0.10590219, 'positive': 0.08603507}"
3,ron say hermione reproachfully pull wand mutter reparo glass shard fly back single pane back door,neutral,0.796738,"{'neutral': 0.796738, 'negative': 0.15011972, 'positive': 0.053142242}"
3,he point wand mutter imperio,neutral,0.8635686,"{'neutral': 0.8635686, 'negative': 0.0685575, 'positive': 0.0678739}"
3,engorgio,neutral,0.69462866,"{'neutral': 0.69462866, 'positive': 0.18755388, 'negative': 0.11781743}"
3,moody raise wand point spider mutter crucio,neutral,0.8848735,"{'neutral': 0.8848735, 'positive': 0.06398533, 'negative': 0.051141217}"
3,reducio moody mutter spider shrink back proper size,neutral,0.7890798,"{'neutral': 0.7890798, 'positive': 0.12860866, 'negative': 0.082311556}"
3,avada kedavra hermione whisper,neutral,0.84519696,"{'neutral': 0.84519696, 'positive': 0.10070849, 'negative': 0.05409456}"
3,avada kedavra kill curse,negative,0.6402074,"{'negative': 0.6402074, 'neutral': 0.33955163, 'positive': 0.020240901}"
3,avada kedavra moody roar,neutral,0.8058906,"{'neutral': 0.8058906, 'positive': 0.13614142, 'negative': 0.057967957}"
3,avada kedavra curse need powerful bit magic behind could get wand point say word I doubt I get much nosebleed,negative,0.49721444,"{'negative': 0.49721444, 'neutral': 0.45219782, 'positive': 0.050587688}"
3,now three curse avada kedavra imperius cruciatus know unforgivable curse,negative,0.68408,"{'negative': 0.68408, 'neutral': 0.2956501, 'positive': 0.020269925}"
3,when avada kedavra way spider die snuff right,neutral,0.80547833,"{'neutral': 0.80547833, 'negative': 0.13422553, 'positive': 0.060296144}"
3,moody raise wand point harry say imperio,neutral,0.882352,"{'neutral': 0.882352, 'positive': 0.073174044, 'negative': 0.044473905}"
3,furnunculus harry yell,neutral,0.7876736,"{'neutral': 0.7876736, 'positive': 0.11563194, 'negative': 0.09669443}"
3,densaugeo scream malfoy,neutral,0.76026607,"{'neutral': 0.76026607, 'negative': 0.1646369, 'positive': 0.07509706}"
3,mr ollivander run finger along wand apparently check scratch bump mutter orchideous bunch flower burst wand tip,neutral,0.84588766,"{'neutral': 0.84588766, 'negative': 0.08118012, 'positive': 0.07293218}"
3,rather thick one usually see quite rigid ten quarter inch avis,neutral,0.72144043,"{'neutral': 0.72144043, 'negative': 0.21723533, 'positive': 0.06132419}"
3,stupefy shout unison stunning spell shoot darkness like fiery rocket burst shower star dragon scaly hide,neutral,0.5697596,"{'neutral': 0.5697596, 'negative': 0.3667373, 'positive': 0.06350308}"
3,diffindo,neutral,0.71664876,"{'neutral': 0.71664876, 'positive': 0.1708527, 'negative': 0.11249855}"
3,accio dictionary,neutral,0.78890157,"{'neutral': 0.78890157, 'positive': 0.14934057, 'negative': 0.061757784}"
3,accio firebolt shout,neutral,0.8130395,"{'neutral': 0.8130395, 'positive': 0.15982047, 'negative': 0.027140023}"
3,accio parchment,neutral,0.6731079,"{'neutral': 0.6731079, 'positive': 0.24396397, 'negative': 0.082928136}"
3,I learn animagus like sirius,neutral,0.66824615,"{'neutral': 0.66824615, 'positive': 0.24876174, 'negative': 0.08299213}"
3,an animagus wizard could transform animal,neutral,0.8009028,"{'neutral': 0.8009028, 'positive': 0.13523512, 'negative': 0.063861996}"
3,it take year become animagus register everything say hermione vaguely squint index weird wizarde dilemma their solution,neutral,0.7161012,"{'neutral': 0.7161012, 'negative': 0.24631163, 'positive': 0.037587132}"
3,lumos harry whisper fifteen minute later open library door,neutral,0.89896363,"{'neutral': 0.89896363, 'positive': 0.08412742, 'negative': 0.016909037}"
3,bagman give harry shoulder quick squeeze return judge table point wand throat do world cup say sonorus voice boom across dark water toward stand,neutral,0.8890655,"{'neutral': 0.8890655, 'positive': 0.07576826, 'negative': 0.03516624}"
3,relashio harry shout except sound come,neutral,0.8585832,"{'neutral': 0.8585832, 'positive': 0.074814975, 'negative': 0.066601805}"
3,they squeeze find cool dimly light cave,neutral,0.51547873,"{'neutral': 0.51547873, 'positive': 0.46957222, 'negative': 0.014949041}"
3,chicken say hoarsely remove old daily prophet mouth throw onto cave floor,negative,0.651081,"{'negative': 0.651081, 'neutral': 0.3312605, 'positive': 0.017658468}"
3,thank say sirius opening grab drumstick sit cave floor tear large chunk tooth,neutral,0.764771,"{'neutral': 0.764771, 'positive': 0.15596555, 'negative': 0.07926348}"
3,he nod yellow daily prophet cave floor ron pick unfold,neutral,0.8772768,"{'neutral': 0.8772768, 'positive': 0.09884777, 'negative': 0.023875548}"
3,you three dumbledore one around know I animagus say sirius shrug continue devour chicken leg,neutral,0.77537394,"{'neutral': 0.77537394, 'positive': 0.1554641, 'negative': 0.06916202}"
3,when harry finish sirius foot start pace cave,neutral,0.92729425,"{'neutral': 0.92729425, 'positive': 0.052319236, 'negative': 0.020386461}"
3,sirius pace around cave silence,neutral,0.87389725,"{'neutral': 0.87389725, 'positive': 0.0887597, 'negative': 0.03734302}"
3,the malfoy say ron suddenly loudly voice echo around cave buckbeak toss head nervously,neutral,0.90400267,"{'neutral': 0.90400267, 'positive': 0.056870095, 'negative': 0.039127164}"
3,he walk cave back say imagine voldemort powerful,neutral,0.82976675,"{'neutral': 0.82976675, 'positive': 0.11535564, 'negative': 0.054877635}"
3,sirius stare cave wall make grimace frustration,neutral,0.61048007,"{'neutral': 0.61048007, 'negative': 0.32683006, 'positive': 0.06268987}"
3,sirius lapse silence still stare cave wall,neutral,0.8505443,"{'neutral': 0.8505443, 'positive': 0.08981681, 'negative': 0.059638906}"
3,he transform great black dog leave cave walk back mountainside across boulderstrewn ground back stile,positive,0.6872148,"{'positive': 0.6872148, 'neutral': 0.29930001, 'negative': 0.013485206}"
3,he work flatout get homework though make point send regular food package cave mountain sirius last summer harry forget feel like continually hungry,neutral,0.6964552,"{'neutral': 0.6964552, 'negative': 0.19608866, 'positive': 0.10745621}"
3,lumos dumbledore say lighting wand holding,neutral,0.9017662,"{'neutral': 0.9017662, 'positive': 0.06371316, 'negative': 0.03452061}"
3,then dumbledore bent krum pointed wand mutter rennervate,neutral,0.8695883,"{'neutral': 0.8695883, 'negative': 0.07241161, 'positive': 0.058000036}"
3,crucio say cold voice,neutral,0.7962509,"{'neutral': 0.7962509, 'negative': 0.13403182, 'positive': 0.06971733}"
3,it I suggest mountainside cave safe place stay,neutral,0.72618884,"{'neutral': 0.72618884, 'positive': 0.26010376, 'negative': 0.013707382}"
3,bagman point wand throat mutter sonorus magically magnify voice echo stand,neutral,0.8250597,"{'neutral': 0.8250597, 'positive': 0.12640522, 'negative': 0.04853501}"
3,he pull wand mutter lumos hear cedric behind,neutral,0.91815054,"{'neutral': 0.91815054, 'positive': 0.05377753, 'negative': 0.0280719}"
3,he summon happy thought could concentrated might think get maze celebrate ron hermione raise wand cry expecto patronum,positive,0.64699894,"{'positive': 0.64699894, 'neutral': 0.3446641, 'negative': 0.008337008}"
3,riddikulus,neutral,0.82487893,"{'neutral': 0.82487893, 'positive': 0.089850575, 'negative': 0.08527045}"
3,reducto say,neutral,0.8238148,"{'neutral': 0.8238148, 'positive': 0.111941166, 'negative': 0.064244024}"
3,stupefy,neutral,0.6166831,"{'neutral': 0.6166831, 'negative': 0.31272805, 'positive': 0.07058889}"
3,impedimenta harry yell,neutral,0.69209284,"{'neutral': 0.69209284, 'positive': 0.2718954, 'negative': 0.036011677}"
3,impedimenta,neutral,0.7503512,"{'neutral': 0.7503512, 'positive': 0.16356729, 'negative': 0.086081564}"
3,crucio,neutral,0.657012,"{'neutral': 0.657012, 'positive': 0.19572522, 'negative': 0.14726278}"
3,stupefy harry yell,neutral,0.74250627,"{'neutral': 0.74250627, 'negative': 0.18079756, 'positive': 0.07669616}"
3,stupefy harry yelled spell hit spider gigantic hairy black body good might well throw stone spider jerk scuttle around run harry instead,neutral,0.6003553,"{'neutral': 0.6003553, 'negative': 0.25952214, 'positive': 0.14012246}"
3,stupefy,neutral,0.6166831,"{'neutral': 0.6166831, 'negative': 0.31272805, 'positive': 0.07058889}"
3,impedimenta,neutral,0.7503512,"{'neutral': 0.7503512, 'positive': 0.16356729, 'negative': 0.086081564}"
3,stupefy,neutral,0.6166831,"{'neutral': 0.6166831, 'negative': 0.31272805, 'positive': 0.07058889}"
3,he could hear cedric yell stupefy spell effect harry harry raised wand spider open pincer shout expelliarmus,neutral,0.8259982,"{'neutral': 0.8259982, 'positive': 0.14834207, 'negative': 0.02565972}"
3,without pause think aim high spider underbelly do skrewt shout stupefy cedric yelled thing,neutral,0.8825098,"{'neutral': 0.8825098, 'negative': 0.061423972, 'positive': 0.056066282}"
3,a swishing noise second voice screech word night avada kedavra,neutral,0.79758316,"{'neutral': 0.79758316, 'negative': 0.14703755, 'positive': 0.05537934}"
3,crucio,neutral,0.657012,"{'neutral': 0.657012, 'positive': 0.19572522, 'negative': 0.14726278}"
3,crucio,neutral,0.657012,"{'neutral': 0.657012, 'positive': 0.19572522, 'negative': 0.14726278}"
3,priori incantatem,neutral,0.6814046,"{'neutral': 0.6814046, 'negative': 0.21204348, 'positive': 0.10655191}"
3,all learn disarm spell expelliarmus use would deprive voldemort wand even could surround death eater outnumber least thirty one,negative,0.4926895,"{'negative': 0.4926895, 'neutral': 0.46825275, 'positive': 0.039057843}"
3,he know face thing moody always warn unblockable avada kedavra curse voldemort right mother die time,negative,0.59703285,"{'negative': 0.59703285, 'neutral': 0.3784929, 'positive': 0.024474207}"
3,imperio,neutral,0.6920926,"{'neutral': 0.6920926, 'positive': 0.18965936, 'negative': 0.1182481}"
3,as harry shout expelliarmus voldemort cry avada kedavra,neutral,0.76464915,"{'neutral': 0.76464915, 'positive': 0.13021971, 'negative': 0.10513111}"
3,impedimenta bellow point wand wildly shoulder death eater run,neutral,0.8033153,"{'neutral': 0.8033153, 'negative': 0.10487511, 'positive': 0.091809556}"
3,accio harry yelled point wand triwizard cup,neutral,0.77778995,"{'neutral': 0.77778995, 'positive': 0.18437713, 'negative': 0.037832886}"
3,stupefy there blind flash red light great splintering crash door moody office blast apart,neutral,0.5450094,"{'neutral': 0.5450094, 'negative': 0.3763839, 'positive': 0.07860671}"
3,then point wand man chest say rennervate,neutral,0.86564964,"{'neutral': 0.86564964, 'negative': 0.08520782, 'positive': 0.049142577}"
3,priori incantatem mutter,neutral,0.62503326,"{'neutral': 0.62503326, 'negative': 0.32776397, 'positive': 0.047202688}"
3,no see rita skeeter hermione voice tremble quiet triumph unregistere animagus,neutral,0.8197057,"{'neutral': 0.8197057, 'negative': 0.09674622, 'positive': 0.083548024}"
3,who use furnunculus curse,negative,0.7424739,"{'negative': 0.7424739, 'neutral': 0.24665384, 'positive': 0.010872303}"
3,point I whisper wand hold flat palm,neutral,0.8566493,"{'neutral': 0.8566493, 'positive': 0.095036015, 'negative': 0.04831463}"
3,point I whisper wand spin around pointed righthand one,neutral,0.8911414,"{'neutral': 0.8911414, 'positive': 0.0853646, 'negative': 0.023494069}"
4,where wand come lumo,neutral,0.83048725,"{'neutral': 0.83048725, 'positive': 0.11895979, 'negative': 0.050553005}"
4,expecto patronum,neutral,0.7262132,"{'neutral': 0.7262132, 'positive': 0.1788494, 'negative': 0.09493735}"
